step,minutes,train_loss,train_acc,val_loss,val_acc
1000,6.229017039140065,4.394465923309326,0.0234375,4.24186484375,0.0544
2000,12.4594815770785,4.410378932952881,0.078125,3.9827421875,0.0931
3000,18.683006838957468,4.52685022354126,0.02734375,4.212123046875,0.0597
4000,24.898365008831025,4.286248207092285,0.0625,4.1100376953125,0.0734
5000,31.118189187844596,4.493208885192871,0.04296875,4.109737890625,0.0739
6000,37.33937490781148,4.197854042053223,0.08203125,4.00951328125,0.0877
7000,43.56147660414378,4.1081156730651855,0.078125,3.9217943359375,0.1027
8000,49.781260482470195,4.3873419761657715,0.046875,3.9588375,0.0953
9000,56.00343813896179,4.224661827087402,0.07421875,4.0399859375,0.0813
10000,62.22785063584646,4.307197570800781,0.07421875,3.94568515625,0.0986
11000,68.44525620142619,4.008848190307617,0.11328125,3.8289021484375,0.1177
12000,74.65974135796229,4.340698719024658,0.06640625,3.709493701171875,0.1336
13000,80.8729486266772,4.417839050292969,0.0625,3.581793017578125,0.1592
14000,87.0774925907453,4.1085615158081055,0.12890625,3.480083935546875,0.1821
15000,93.29708130757014,3.9562835693359375,0.109375,3.38189521484375,0.1969
16000,99.5176074663798,4.198657989501953,0.109375,3.298627001953125,0.2159
17000,105.74752747615179,3.6403658390045166,0.1875,3.209308984375,0.2319
18000,111.9818573832512,4.203618049621582,0.125,3.174095166015625,0.2404
19000,118.25001947482427,4.277280807495117,0.10546875,3.160861669921875,0.2418
20000,124.47895596822103,4.066802024841309,0.15234375,3.1564344360351564,0.2423
